parameter,ST_mean,ST_std,S1_mean,S1_std
Cars,0.340272,0.126778,0.006448,0.011839
E-Cars,0.339184,0.084838,0.003581,0.002678
SUVs,0.272771,0.061106,0.005686,0.006617
E-SUVs,0.297287,0.044012,0.007732,0.008181
Buses,0.287079,0.079456,0.012861,0.011805
Microcars,0.255365,0.079593,0.001912,0.001954
Mean Speed,0.270893,0.070640,0.005600,0.004226
Speed Variability,0.228500,0.067973,0.003869,0.002306
Green Duration,0.122625,0.068689,0.001790,0.001193
Sight Distance,0.146071,0.072459,0.007785,0.005451
Planning Distance,0.097449,0.028351,0.006968,0.005253
